"predict","p0","p1"
"1",0.011504592096895248,0.9884954079031048
"0",0.8454753324873131,0.15452466751268695
"1",0.02016106186947376,0.9798389381305262
"1",0.09916755150330232,0.9008324484966976
"1",0.27272367713091494,0.7272763228690852
"1",0.0,1.0
"0",0.9310006362797855,0.06899936372021453
"1",0.09029019257449905,0.909709807425501
"0",0.900756535163905,0.09924346483609497
"0",0.7754764900037981,0.22452350999620185
"0",0.9884076201935627,0.011592379806437349
"0",0.7605279375513557,0.23947206244864425
"0",0.6278132547139137,0.37218674528608625
"1",0.19544048877818726,0.8045595112218128
"1",0.15095304891417002,0.8490469510858301
"1",0.2690756498682911,0.7309243501317089
"0",0.6292059108118981,0.37079408918810186
"1",0.2114606229733267,0.7885393770266733
"0",0.9613330367778044,0.038666963222195636
"1",0.18629021035402119,0.8137097896459788
"0",0.9462194095190706,0.05378059048092937
"1",0.028841665290176167,0.9711583347098238
"1",0.3369701368046176,0.6630298631953824
"1",0.08143779186317339,0.9185622081368267
"0",0.4864876771963086,0.5135123228036914
"0",0.5300139652773541,0.469986034722646
"0",0.611838395705295,0.38816160429470503
"1",0.423184235965712,0.5768157640342879
"0",0.9615032156331784,0.03849678436682159
"1",0.17716604905593786,0.8228339509440622
"1",0.0,1.0
"0",0.7245405443378106,0.2754594556621894
"0",0.9768524723624576,0.023147527637542402
"0",0.6601893700720217,0.3398106299279783
"1",0.03464219170519632,0.9653578082948036
"0",0.9538531574415865,0.046146842558413455
"1",0.005746970176144063,0.9942530298238559
"0",0.9462194095190706,0.05378059048092937
"0",0.7859422604392924,0.2140577395607077
"1",0.2076816808386463,0.7923183191613538
"1",0.017272895403500167,0.9827271045964998
"1",0.05210869819081437,0.9478913018091857
"0",1.0,0.0
"0",1.0,0.0
"1",0.0779580218374799,0.9220419781625202
"0",0.8857303893939765,0.11426961060602346
"1",0.005746970176144063,0.9942530298238559
"1",0.0,1.0
"0",0.5575324365530463,0.4424675634469537
"1",0.011504592096895248,0.9884954079031048
"1",0.0,1.0
"1",0.028841665290176167,0.9711583347098238
"0",0.681843353363344,0.318156646636656
"0",0.4760117666798536,0.5239882333201464
"1",0.22613148723298326,0.7738685127670167
